"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Serpinf1.9",2.55433952102922e-63,-2.72312120799021,0.04,0.59,5.21621673589378e-59,"SMC_4","Serpinf1"
"Fbln1.10",5.02002353442573e-63,-2.92204739266569,0.062,0.602,1.02513900596508e-58,"SMC_4","Fbln1"
"Stom.8",5.17531824604958e-63,0.88508277430143,0.529,0.173,1.05685173902579e-58,"SMC_4","Stom"
"Colec12.10",5.96464279705355e-63,-1.49877959862723,0.085,0.639,1.21803970558631e-58,"SMC_4","Colec12"
"Lrrc32.3",5.97914458113279e-63,0.792830988298796,0.482,0.143,1.22100111491313e-58,"SMC_4","Lrrc32"
"Rasal2.6",7.84965007206938e-63,0.94863305300013,0.592,0.221,1.60297704121729e-58,"SMC_4","Rasal2"
"Rplp0.8",1.51099326655817e-62,-0.830511917114141,0.967,0.978,3.08559934963843e-58,"SMC_4","Rplp0"
"Rapgef5.8",1.93130408632637e-62,0.994949232498838,0.529,0.173,3.94391607468707e-58,"SMC_4","Rapgef5"
"Atpif1.7",3.63882678539891e-62,1.25303507266799,0.901,0.731,7.43084817846311e-58,"SMC_4","Atpif1"
"mt-Nd3.8",4.43468118902972e-62,0.913284023957615,0.993,0.963,9.05606245611758e-58,"SMC_4","mt-Nd3"
"Rpsa.7",8.00669493164051e-62,-0.861187345599559,0.949,0.983,1.63504717199031e-57,"SMC_4","Rpsa"
"Flna.9",1.28712605529623e-61,1.22278340143622,0.945,0.735,2.62844011752044e-57,"SMC_4","Flna"
"Lims1.1",2.07145391870069e-61,1.18159858730266,0.801,0.507,4.23011604737868e-57,"SMC_4","Lims1"
"Arap2.6",4.18247335068285e-61,0.873604509574569,0.471,0.137,8.54102882942945e-57,"SMC_4","Arap2"
"Cd302.11",4.43036960180051e-61,-1.56542722161728,0.184,0.72,9.04725776383683e-57,"SMC_4","Cd302"
"Usp2",6.18626910501421e-61,0.873237313107943,0.415,0.115,1.26329801393495e-56,"SMC_4","Usp2"
"Gxylt2.11",8.54070545185406e-61,-1.8220581660221,0.022,0.568,1.74409746032312e-56,"SMC_4","Gxylt2"
"Synpo2.10",9.52774716566342e-61,1.13160357562939,0.801,0.377,1.94566124870013e-56,"SMC_4","Synpo2"
"Pcolce2.11",1.07685226813563e-60,-2.39745879050682,0.055,0.592,2.19904001675978e-56,"SMC_4","Pcolce2"
"Lum.10",1.33524619610672e-60,-3.35243298891083,0.118,0.62,2.72670625706954e-56,"SMC_4","Lum"
