"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ddr2.15",9.40085069843639e-13,-1.3043203442815,0.048,0.662,1.9197477211277e-08,"Mac_4","Ddr2"
"Tlr2.4",9.55169894889745e-13,0.895685530928313,0.429,0.105,1.95055244235435e-08,"Mac_4","Tlr2"
"Tsc22d4.5",9.6430427710002e-13,0.944693168468763,0.952,0.567,1.96920576426595e-08,"Mac_4","Tsc22d4"
"Orai1.5",9.73265089782296e-13,0.554581069631827,0.714,0.242,1.98750463984443e-08,"Mac_4","Orai1"
"Fbln1.16",9.98102994768554e-13,-3.22137087678709,0.071,0.648,2.03822612561687e-08,"Mac_4","Fbln1"
"Cbx1.3",1.01587659544423e-12,0.94631477274931,0.976,0.592,2.07452159555667e-08,"Mac_4","Cbx1"
"Wwtr1.11",1.01760482220185e-12,-1.18439509537406,0,0.617,2.07805080741839e-08,"Mac_4","Wwtr1"
"Rnaseh2a",1.08124975298258e-12,0.344373789408598,0.524,0.133,2.20802012056573e-08,"Mac_4","Rnaseh2a"
"Mmp2.17",1.08444746661769e-12,-2.14530200547586,0,0.617,2.21455017157999e-08,"Mac_4","Mmp2"
"Mfge8.15",1.11975452479188e-12,-1.51124396225954,0.333,0.773,2.2866507150775e-08,"Mac_4","Mfge8"
"Col15a1.17",1.18844859870217e-12,-2.0021357393437,0.048,0.638,2.42693088340971e-08,"Mac_4","Col15a1"
"Fzr1",1.1960294375266e-12,0.405084250340427,0.524,0.144,2.44241171437308e-08,"Mac_4","Fzr1"
"Hnrnpul1",1.23830254854503e-12,0.831028433404359,0.881,0.456,2.52873763438381e-08,"Mac_4","Hnrnpul1"
"Sh3kbp1.11",1.30935466545072e-12,0.691894104757608,0.833,0.327,2.67383316231691e-08,"Mac_4","Sh3kbp1"
"Adamts2.17",1.31099597403518e-12,-1.62420260450796,0.048,0.647,2.67718487857724e-08,"Mac_4","Adamts2"
"Mast4.14",1.38199789189544e-12,-1.29762424423209,0.048,0.634,2.82217789503967e-08,"Mac_4","Mast4"
"Pcolce2.18",1.42194737002944e-12,-2.250480537872,0.024,0.623,2.90375872433712e-08,"Mac_4","Pcolce2"
"Smpd4",1.45140971201641e-12,0.279165582404118,0.405,0.087,2.9639237729087e-08,"Mac_4","Smpd4"
